,Temperature,mole fraction,error,est_error,state_loss,error_loss
0,1689.3030648713086,0.12200053520056908,6922.869004798624,14.132552146911621,14.132552146911621,0.18582314252853394
1,1968.292067720213,0.14820975568242717,1866.7478287037718,12.40365982055664,12.40365982055664,0.13481111824512482
2,2316.9939036582055,0.17528119842121706,482.1669816365086,10.727139472961426,10.727139472961426,0.08607862889766693
3,2670.244372670153,0.20373030879756315,116.35027589198042,9.093769073486328,9.093769073486328,0.04588741809129715
4,3061.2883121711056,0.2338753152394759,25.92253208888841,7.466413497924805,7.466413497924805,0.022849516943097115
5,3476.4631356067694,0.2660313186228477,5.378156470494737,5.993275165557861,5.993275165557861,0.02734052762389183
6,3804.7413453828513,0.2992087156884756,1.227659856836792,4.569124221801758,4.569124221801758,0.024454206228256226
7,4076.4341458730896,0.3332061225926618,0.441864822424455,3.0718891620635986,3.0718891620635986,0.02530643902719021
8,4292.180995656227,0.3674067631732012,0.306311323042985,1.541132926940918,1.541132926940918,0.02912863902747631
9,4482.269403093949,0.3999449953803647,0.2996700656724358,1.0608949661254883,1.0608949661254883,0.03620796278119087
10,4541.615230910477,0.3999449953803647,0.30383981487153366,1.4686744213104248,1.4686744213104248,0.023505808785557747
11,4504.020005930747,0.3999449953803647,0.30120793308852556,1.7898218631744385,1.7898218631744385,0.013465036638081074
12,4406.716504274096,0.3999449953803647,0.29423049735219114,1.565165638923645,1.565165638923645,0.009534791111946106
13,4280.88734281379,0.3999449953803647,0.2847680998515215,1.4124164581298828,1.4124164581298828,0.011537447571754456
14,4147.220141310794,0.3999449953803647,0.2740156427654702,1.448972225189209,1.448972225189209,0.007765852380543947
15,4022.5127023364794,0.3999449953803647,0.26315418854725936,1.266553521156311,1.266553521156311,0.006594668608158827
16,3916.766745456498,0.3999449953803647,0.2531684563440824,1.2053892612457275,1.2053892612457275,0.007796123623847961
17,3835.7414028393277,0.3999449953803647,0.24494371358200967,1.173518180847168,1.173518180847168,0.006117099896073341
18,3779.201383097695,0.3999449953803647,0.23886717128948246,1.090946912765503,1.090946912765503,0.006794404238462448
19,3745.0704483305744,0.3999449953803647,0.2350512794892401,1.0747601985931396,1.0747601985931396,0.005898964591324329
20,3729.1020061810077,0.3999449953803647,0.23322544015722035,1.0767035484313965,1.0767035484313965,0.00618552602827549
21,3724.9532015920913,0.3999449953803647,0.2327466913691182,1.0257575511932373,1.0257575511932373,0.006319839973002672
22,3036.967693266659,0.3999449953803647,0.11250514359060003,0.6112569570541382,0.6112569570541382,0.011361165903508663
